node,type,invert_elev,x,y,catchment
34902082,junction,459.8923037846075,1960896.374,591216.719,WWTP4
34902083,junction,464.1838963677926,1961046.054,591251.169,WWTP4
34902084,junction,463.9522479044957,1961026.011,591229.886,WWTP4
34902085,junction,468.4572009144017,1961201.627,591231.083,WWTP4
34902086,junction,466.38150876301745,1961261.627,591211.344,WWTP4
34902087,junction,463.6626873253745,1961099.458,591201.169,WWTP4
34902088,junction,455.32334264668526,1960843.293,591160.366,WWTP4
34902089,junction,459.3619507239014,1960957.796,591157.466,WWTP4
34902090,junction,461.85826771653535,1961090.878,591181.636,WWTP4
34902091,junction,461.88874777749544,1961138.84,591164.301,WWTP4
34902092,junction,466.5674371348741,1961350.639,591182.2,WWTP4
34902093,junction,454.7350774701548,1960707.324,591141.817,WWTP4
34902094,junction,460.01117602235195,1961054.512,591128.878,WWTP4
34902095,junction,457.9446278892557,1961158.226,591115.792,WWTP4
34902096,junction,458.4932689865378,1961180.672,591125.142,WWTP4
34902097,junction,457.3929387858775,1961201.04,591106.826,WWTP4
34902098,junction,462.03505207010403,1961305.51,591130.674,WWTP4
34902099,junction,453.3360426720852,1960595.767,591123.539,WWTP4
34902100,junction,451.7388874777749,1960770.148,591082.716,WWTP4
34902101,junction,451.95834391668774,1960884.754,591079.912,WWTP4
34902102,junction,453.9883159766319,1960983.468,591053.435,WWTP4
34902103,junction,453.9852679705359,1961097.164,591051.047,WWTP4
34902104,junction,448.92252984505956,1960671.205,591052.447,WWTP4
34902105,junction,449.54737109474206,1960834.477,591036.475,WWTP4
34902106,junction,450.24536449072883,1961246.151,591032.086,WWTP4
34902107,junction,452.525273050546,1961274.312,591037.92,WWTP4
34902108,junction,442.75031750063494,1960152.617,590983.458,WWTP4
34902109,junction,444.0274320548641,1960132.884,590962.457,WWTP4
34902110,junction,446.6639573279145,1960449.709,590989.995,WWTP4
34902111,junction,444.9936499872998,1960746.603,590981.395,WWTP4
34902112,junction,446.52984505969005,1960912.008,590977.549,WWTP4
34902113,junction,448.68173736347467,1961033.59,590983.64,WWTP4
34902114,junction,445.6946913893827,1961183.092,590965.23,WWTP4
34902115,junction,447.1577343154684,1961323.075,590959.889,WWTP4
34902116,junction,448.20015240030466,1961339.155,590976.942,WWTP4
34902117,junction,444.033528067056,1960739.145,590943.435,WWTP4
34902118,junction,439.32435864871724,1960229.171,590911.385,WWTP4
34902119,junction,441.23545847091685,1960510.372,590896.787,WWTP4
34902120,junction,443.542799085598,1960537.723,590907.207,WWTP4
