country_iso,country,WASTE_ID,catchment_id,WWTP_NAME,urban_zone_id,urban_zone_type,LAT_WWTP_deg,LON_WWTP_deg,POP_SERVED_people,WASTE_DIS_m3_day,per_capita_l_day,per_capita_water_L_person_day,building_count,positive_flow_building_count,zero_flow_building_count,assigned_population_people,ratio,average_assigned_population_per_building,sum_Lb_m,sum_Qb_m3_day,sum_Lb_over_Qb_day_per_m2,average_Lb_m,average_Qb_m3_day,max_Lb_m,min_positive_Qb_m3_day,catchment_status,schema_version,method_version
KOR,South Korea,56028,56028,,UC:332_2025,urban_centre,37.549,126.883,2093516,789773.197,377.2472706203344,377.2472706203344,42887,42887,0,2190798.6308080754,1.0464685394370405,51.08304686287396,173555123.23881757,826472.8039511114,239052795.3397439,4046.800271383346,19.270940003989818,8613.65440423865,0.0012835235297156682,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56030,56030,,UC:332_2025,urban_centre,37.569,126.996,2250682,849063.616,377.2472592751886,377.2472592751886,62655,62655,0,2355727.100865558,1.0466725645229125,37.598389607622025,290408036.40197366,888691.5924018143,356260954.5807489,4635.0336988584095,14.183889432636091,12398.832821194907,0.0010157907647292245,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56032,56032,,UC:332_2025,urban_centre,37.589,126.848,591528,223152.201,377.24706353714447,377.24706353714447,24197,24197,0,618965.41557161,1.04638396757484,25.580254393999667,144255123.93117213,233502.8854554363,423641996.87967795,5961.69458739398,9.650075854669435,15111.022619639345,0.0010754897335764604,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56034,56034,,UC:332_2025,urban_centre,37.624,126.796,410490,154856.33,377.2475090745207,377.2475090745207,26987,26987,0,429668.92640846956,1.046722030764378,15.921329766497557,181816352.71998695,162091.53221431945,699234728.1084307,6737.182818393558,6.006281995565252,15854.190130138883,0.0010421463216601441,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56035,56035,,DUC:DUC_1820,dense_urban_cluster,37.652,126.664,319386,120487.493,377.2472588028279,377.2472588028279,5777,5777,0,165191.57717506448,0.5172160870390827,28.5946991821126,10040354.529523691,62318.069666608804,22908292.491692774,1737.9876284444679,10.78727188274343,4162.266505952845,0.002355425031117877,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56037,56037,,UC:332_2025,urban_centre,37.657,126.727,498349,188000.663,377.2469955794032,377.2469955794032,19710,19710,0,521539.93171425594,1.0465355237278613,26.460676393417348,120942356.0919267,196749.3723138904,310152005.76529765,6136.091125922207,9.982210670415546,13328.035504782545,0.0012124374365964686,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56040,56040,,UC:332_2025,urban_centre,37.72,127.051,1457237,549738.797,377.24735029374085,377.24735029374085,41762,41762,0,1524683.3272720112,1.0462837048963285,36.50886756553832,378130460.20526034,575182.7452504154,906240925.8059046,9054.41454444855,13.772873551324539,18514.723515243924,0.0012528137391659504,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56041,56041,,UC:2367_2025,urban_centre,37.768,128.941,145199,54776.103,377.2484865598248,377.2484865598248,8688,8688,0,166928.59495623337,1.1496538884994618,19.213696472862956,38513264.55576118,62973.5598107971,108331834.40631695,4432.926399143782,7.248337915607401,9842.113981686787,0.0010762189093688952,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56044,56044,,DUC:DUC_714,dense_urban_cluster,37.817,126.752,256101,96613.475,377.2475507709849,377.2475507709849,1751,1751,0,9136.057253098665,0.03567364927547594,5.217622645972967,4082506.3403426805,3446.5552224349667,38359732.61514758,2331.528463930714,1.9683353640405292,4677.189412108457,0.001046515696345864,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56158,56158,,UC:332_2025,urban_centre,37.364,126.656,26402,9960.191,377.2513824710249,377.2513824710249,1170,1170,0,27609.261262298824,1.0457261291682003,23.597659198546005,3773317.1652890574,10415.631980205948,18063683.286311015,3225.057406229964,8.90224955573158,6900.237712191174,0.0028260399844821696,assigned,1.0,ghsl2025-capacitated-building-v1
