Node,HRT,Total_Length,x_node,y_node
FGJ7034949,2.948986230856678,10065.0,837169.2071999998,815625.0795
FGJ7034950,2.942061689648307,10048.0,837150.9096999998,815634.9372
FGJ7034951,2.9417961865865005,10049.0,837150.0224,815631.6087
FGJ7034952,2.940787228122531,10046.0,837145.7043,815632.9575
FMH7062463,3.838086703512756,14331.0,833587.8699,813883.5788
FLH7014506,3.4812688800030016,12059.0,832323.1439999999,812623.4549999998
FLH7014508,4.117398135460723,14473.0,834899.4209999999,812128.65
FGJ7016020,1.9425473908116155,6664.0,833662.7879,816281.2452
FLH7010920,2.107268789263593,7288.0,834096.7228,815936.4974
FGJ7036684,1.8716827325058054,6499.0,833807.681,816336.9279999998
FGJ7009863,1.9886612310536498,7133.0,832110.642,816402.849
FGJ7010048,1.9268617940465673,6819.0,832644.854,816259.638
FGJ7010560,1.827044445972979,6246.0,833036.444,816605.904
FGJ7010561,1.8740874003146715,6335.0,833283.213,816277.572
FGJ7010563,2.988850108633013,10285.0,835909.865,815758.8349999998
FMH7062939,1.8989446360192823,6539.0,833641.15,816372.665
FLH7013880,2.8724045359581085,9727.0,836615.441,815476.7659999998
FLH7026044,2.9212227488144733,9980.0,836234.4275,815393.9133
FGJ7035034,2.9167143149063675,9970.0,836227.355,815392.368
FGJ7011620,2.151570002931195,7708.0,834089.11,815913.0
FGJ7011600,2.0084969302217868,7034.0,833927.2639999999,816237.3619999998
FGJ7011601,2.0096370977432807,7038.0,833923.709,816232.206
FMH7058680,2.2042803086457283,7767.0,831682.642,816406.8279999999
FLH7019540,3.2048315895155994,11276.0,835827.0379999998,815205.827
FSH7002100,1.9223686018482717,6720.0,833899.338,816137.028
FSH7002101,1.9423007715969196,6894.0,833892.001,815980.329
FSH7002124,1.9572464009037764,6796.0,833951.7929999998,816091.707
FLH7014106,1.888645631934974,6874.0,833606.954,815999.48
FLH7014108,3.903231338792999,13303.0,841064.645,815683.6729999998
FLH7014120,2.4054815164254153,8394.0,831233.4939999998,815958.333
FLH7008680,2.7457297160165615,8987.0,830629.691,815898.1439999999
FGJ7034971,2.020936063419285,7257.0,832267.0679999999,816475.3179999999
FMH7062158,1.9795887964178682,6746.0,833658.012,816224.915
FMH7050161,2.010378645441496,7165.0,834453.1999999998,815982.962
FGJ7035461,1.996785624130848,7354.0,833940.0899999999,815556.087
FLH7008663,4.0006931658088085,13853.0,839905.888,816093.31
FGJ7036635,1.8556628242405984,6505.0,832843.473,816375.2489999998
FMH7049542,3.2492918781901934,12136.0,834028.356,815294.5429999998
FGJ7035085,1.9307169902948769,6830.0,832391.282,816571.831
FGJ7013800,4.495797112929078,17617.0,835331.1189999998,814263.8519999998
FGJ7013803,4.499990630828423,17295.0,835587.844,813566.8499999999
FGJ7014660,3.0156739733693403,10273.0,837213.0786,815886.4952999998
FGJ7021401,2.0422084506036224,7339.0,831948.7841,816275.9373
FLH7018901,2.0504680571117695,6999.0,832597.6119999998,816402.773
FGJ7035097,2.2999596850876056,8157.0,831420.522,816009.469
FGJ7036756,2.0641851051944675,6942.0,832616.6879999998,816443.469
FGJ7036757,2.058542583195915,6933.0,832624.064,816444.3769999999
FGJ7036758,2.065166455517263,6934.0,832623.863,816455.9889999998
FGJ7036755,2.0637229186820765,6951.0,832608.512,816458.681
FGJ7035099,1.9238191275388947,6841.0,832287.256,816553.4109999998
FGJ7035098,2.038094495978253,6883.0,832300.512,816568.209
FGJ7014081,2.955717790236828,10121.0,837147.449,815774.0189999999
FLH7015860,1.8688920622541598,6361.0,833005.594,816491.39
FLH7018347,1.8341445760626065,6378.0,832749.4993,816617.8736
FGJ7014121,2.8868826082815238,9733.0,836612.099,815455.8689999998
FGJ7014122,2.95695715052305,10106.0,836245.638,815245.907
FGJ7014124,2.9748272168969345,10134.0,836249.189,815215.549
FGJ7012580,3.085777802868917,10737.0,835492.5159999998,815411.329
FLH7017381,1.9394133530856474,6655.0,833669.934,816292.589
FGJ7036797,1.965332391673184,6717.0,833622.496,816279.866
FGJ7036799,1.8230217117304572,6592.0,833549.92,816119.311
FGJ7036800,1.8089930907627634,6426.0,833337.056,816179.7319999998
FMH7063442,3.9183013319373696,13414.0,839770.437,816568.951
FMH7065020,2.859819661979644,9651.0,836821.765,815790.0
FGJ7012821,3.1999717693222256,11254.0,835902.356,815101.0379999998
FMH7064021,2.0321737473241006,7212.0,831995.375,816493.2959999999
FGJ7036444,1.941485378564389,6660.0,833665.1219999999,816284.925
FMH7039926,1.898374436157637,7294.0,833630.9449999998,815664.692
FMH7066020,3.7564957835319706,12751.0,841355.386,815616.6169999999
FLH7019061,1.9367525456499748,6647.0,833698.375,816303.1339999998
FLH7019062,1.9394435147587659,6650.0,833690.488,816294.1119999998
FGJ7010564,2.996312174492092,10307.0,835939.944,815761.0999999999
FLH7011680,2.078708718655665,7553.0,832385.358,816272.1759999999
FGJ7036702,1.9868933791164705,6772.0,833578.3619999998,816256.76
FGJ7034960,2.901961984902509,9838.0,836983.0407,815813.2905999998
FGJ7011280,1.9961251079087947,6788.0,833567.398,816279.441
FLH7014323,1.843360585336754,6382.0,833446.589,816260.8789999998
FGJ7034523,3.244847259051607,11939.0,834280.0492999998,815285.0786999998
FGJ7013281,3.0814332703452822,10542.0,837152.196,815398.512
FLH7015920,1.8643733811977075,6350.0,833020.594,816497.6139999998
FLH7015921,1.8639365929926979,6347.0,833016.738,816502.363
FGJ7036700,2.0093564898392495,6808.0,833550.902,816296.87
FGJ7010262,3.261278197508803,12022.0,834148.773,815277.116
FGJ7002610,4.009958677822959,13843.0,837759.8839999998,816422.6709999999
FGJ7035475,3.922483594759168,14545.0,833483.86,813601.731
FMH7021897,3.8630579647737857,13226.0,838314.596,816829.912
FLH7012620,2.8853821984775525,9817.0,836508.827,815408.356
FLH7019921,3.171611048060754,11184.0,835502.8216999999,815254.6739
FLH7019922,3.173573468167475,11191.0,835498.3680999998,815248.7549
FGJ7034832,3.1685364264516416,11165.0,835513.299,815269.221
FGJ7034833,3.0359031864726673,10671.0,835725.6439999999,815545.804
FGJ7034974,1.9609534592872873,7051.0,832091.9159999999,816482.449
FLH7001702,2.98630082852992,9991.0,836111.366,815427.0429999998
FLH7008440,2.0903993411658055,7459.0,834283.5019999999,815755.425
FMH7061901,3.927428948501761,14857.0,833763.802,814300.005
FGJ7035457,3.2328054851784165,11872.0,834223.18,815354.476
FGJ7036722,1.7901564064305044,6414.0,833400.437,816230.6979999999
FMH7051160,3.90503416978997,14777.0,833728.035,814233.567
FGJ7012483,2.921897311671065,9894.0,836958.1191999998,815880.2179
FLH7015720,3.1294855963261665,11034.0,835628.88,815192.6409999998
FGJ7014041,3.0161876941135133,10237.0,837101.1979999999,815875.897
FGJ7014060,3.0033258628900485,10226.0,837120.211,815876.961
FGJ7014061,2.9863953087461135,10185.0,837127.8209,815839.9503999999
FGJ7014063,3.003104036935645,10222.0,837254.2415,815772.2624999998
FGJ7014080,2.9302520881664798,10044.0,837086.7600999998,815748.4636
FGJ7014064,2.9248294837147,10031.0,837118.0183999998,815723.1770999999
FMH7063140,3.1336437939612862,9607.0,836224.213,815883.153
FLH7017300,3.9148108133867527,13273.0,840986.898,815778.38
FGJ7036786,1.8041604651645107,6216.0,833508.555,816439.292
FGJ7036785,1.8037420160778326,6215.0,833510.626,816441.5849999998
FGJ7036762,1.8625000404507124,6474.0,833775.486,816334.434
FGJ7013560,4.325327864688081,14374.0,843359.121,814479.4179999998
FGJ7036706,1.9580582139552138,6679.0,833629.976,816342.892
FGJ7013840,3.4997370807319204,12767.0,836257.5019999999,814410.4889999998
FGJ7013843,2.8646380461191847,9273.0,836487.2001999998,815882.7121999998
FGJ7013441,3.7835055134585085,13054.0,841730.066,815200.212
FLH7016360,5.324228676368317,19739.0,838509.8,810716.4819999998
FGJ7036740,1.8238299155821232,6250.0,833460.927,816455.093
FGJ7013005,1.9414192943353672,6666.0,833725.306,816296.5509999999
