FEAT_NUM,Unnamed: 0,OID_,FR_PNT,TO_PNT,WIDTH,HEIGHT,SHAPE_DESC,US_IL,DS_IL,GEOMETRY_L,us_x,us_y,ds_x,ds_y,Assigned_Outfall,stay
FWD4034214,11613,11613,FGJ4001762,FMH4032253,1800,0,Circular,4.9066040807637386,2.75,8,838910.4889999998,822071.466,838915.007,822064.875,SCISTW,True
FWD4034215,11614,11614,FLH4003282,FMH4032254,450,0,Circular,6.5999999,6.066191298292226,8,838914.827,822052.817,838918.637,822060.1169999999,SCISTW,True
FWD4034216,11615,11615,FMH4032253,FGJ4001761,1800,0,Circular,2.75,2.7357142857142858,5,838915.5679999999,822064.3079999998,838919.523,822061.7589999998,SCISTW,True
FWD4034218,11616,11616,FMH4032255,FMH4032256,1800,0,Circular,2.65,2.52,60,838958.616,822038.7249999999,839004.613,822000.103,SCISTW,True
FWD4034219,11617,11617,FGJ4001761,FMH4032255,1800,0,Circular,2.562318366478024,2.65,45,838919.523,822061.7589999998,838957.998,822039.1629999998,SCISTW,True
FWD4034235,11618,11618,FMH4032270,FMH4032271,450,0,Circular,7.06,6.72,59,839053.588,822148.827,839103.964,822117.25,SCISTW,True
FWD4034236,11619,11619,FMH4032271,FMH4032272,450,0,Circular,6.72,6.13,42,839104.5969999998,822116.849,839139.9649999999,822094.2519999999,SCISTW,True
FWD4035391,11620,11620,FMH4033397,FMH4033398,750,0,Circular,93.44660408076375,93.38946122362088,20,841173.89,820939.213,841154.3669999999,820936.062,SCISTW,True
FWD4035393,11621,11621,FMH4033399,FMH4033400,600,0,Circular,92.95695509943408,92.87695509943408,28,841131.893,820913.642,841124.099,820886.363,SCISTW,True
FWD4035191,11622,11622,FMH4033192,FMH4033193,150,0,Circular,61.99,57.832716735389006,8,840244.1495,821776.121,840247.5533,821769.0135999998,SCISTW,True
FWD4035192,11623,11623,FMH4033193,FMH4033194,375,0,Circular,57.65932081615274,56.62,2,840247.9497,821768.3371,840247.3419999998,821766.1949,SCISTW,True
