node,type,invert_elev,x,y,catchment
CN3242,junction,147.99404964119196,-79.2554786,43.7904444,WWTP4
CN3245,junction,157.81712532454102,-79.2530298,43.7841696,WWTP4
CN3258,junction,170.6088791020448,-79.3050918,43.7818552,WWTP4
CN3262,junction,176.81717230197214,-79.3075942,43.7778357,WWTP4
CN3272,junction,165.54246768276937,-79.2566191,43.7875256,WWTP4
CN3274,junction,140.15262970086357,-79.2506348,43.784191,WWTP4
CN3275,junction,144.92458459901826,-79.2528117,43.7883017,WWTP4
CN3295,junction,153.42188675160867,-79.2522048,43.779436,WWTP4
CN3298,junction,167.30275439291012,-79.2993746,43.7590383,WWTP1
CN3310,junction,156.8419669978971,-79.25499,43.7788175,WWTP4
CN3316,junction,135.6083943631231,-79.2840585,43.7824487,WWTP4
CN3317,junction,129.54562916199885,-79.2796554,43.779292,WWTP4
CN3318,junction,127.71623759087534,-79.2780981,43.7780065,WWTP4
CN3320,junction,131.39154817844926,-79.2812427,43.7798575,WWTP4
CN3321,junction,130.7468721086043,-79.280544,43.7799988,WWTP4
CN3337,junction,161.1474392099532,-79.2557435,43.7749237,WWTP4
CN3342,junction,160.6475754611484,-79.2549464,43.7749773,WWTP4
CN3348,junction,133.2838988856792,-79.2825823,43.7809716,WWTP4
CN3349,junction,133.97023169142952,-79.2828606,43.781248,WWTP4
CN3362,junction,163.76750255345064,-79.2631761,43.7789652,WWTP4
CN3371,junction,163.76250310584183,-79.2825046,43.7654928,WWTP4
CN3377,junction,111.90751252145718,-79.2684055,43.7715445,WWTP4
CN3378,junction,110.14223836575601,-79.2670625,43.7708746,WWTP4
CN3379,junction,108.05310931310953,-79.2657626,43.7693968,WWTP4
CN3380,junction,107.6378625979589,-79.2655349,43.7691993,WWTP4
CN3396,junction,159.0583442127275,-79.2952684,43.7513936,WWTP1
CN3421,junction,161.43723402515815,-79.2335346,43.788472,WWTP4
CN3423,junction,159.14774008003593,-79.2386365,43.7863002,WWTP4
CN3425,junction,158.71128354119347,-79.239255,43.7861656,WWTP4
CN3427,junction,158.24892699946759,-79.2399102,43.786023,WWTP4
CN3428,junction,157.78440205624221,-79.2405173,43.7860117,WWTP4
CN3432,junction,161.12871076162003,-79.2821741,43.7499036,WWTP4
CN3433,junction,151.84928721138135,-79.2677912,43.7534511,WWTP4
CN3434,junction,-3.7464428535077974,-79.2656939,43.7486732,WWTP4
CN3435,junction,-2.511993040992289,-79.2658193,43.7494238,WWTP4
CN3436,junction,-2.7502198651381424,-79.2658142,43.7493785,WWTP4
CN3439,junction,161.3976463987075,-79.2819867,43.749451,WWTP4
CN3474,junction,157.52416597099946,-79.2414867,43.7873383,WWTP4
CN3478,junction,116.77075845233587,-79.1937947,43.7862528,WWTP4
CN3487,junction,153.72589493932995,-79.2418344,43.7749358,WWTP4
CN3489,junction,128.89656349171707,-79.2416419,43.7768974,WWTP4
CN3490,junction,135.52360046814744,-79.2484521,43.7802316,WWTP4
CN3502,junction,-35.15295198594901,-79.2200518,43.7852398,WWTP4
CN3508,junction,154.47385551780673,-79.2479526,43.7803278,WWTP4
CN3509,junction,125.35298542538156,-79.2373259,43.7778771,WWTP4
CN3510,junction,129.8101234674284,-79.2427162,43.7772477,WWTP4
CN3511,junction,135.2113632216976,-79.2483275,43.7801325,WWTP4
CN3512,junction,120.27400408160682,-79.2341779,43.7814908,WWTP4
CN3514,junction,148.75469093212314,-79.2332939,43.7800528,WWTP4
CN3515,junction,154.3307080624337,-79.2321561,43.777206,WWTP4
CN3523,junction,151.62395995058657,-79.235744,43.7825543,WWTP4
CN3541,junction,120.0077134867054,-79.2341068,43.7815503,WWTP4
CN3542,junction,118.88400547968405,-79.2332936,43.781758,WWTP4
CN3543,junction,119.25680138371648,-79.2335641,43.7816928,WWTP4
CN3544,junction,115.2199516905193,-79.22872,43.7826184,WWTP4
CN3545,junction,124.10016490823638,-79.2360117,43.7782433,WWTP4
CN3549,junction,-51.171022227917184,-79.2052443,43.7770107,WWTP4
CN3552,junction,-94.98807162960489,-79.1981131,43.7733191,WWTP4
CN3562,junction,-2.0556368515981136,-79.1890597,43.7757232,WWTP4
CN3565,junction,-83.46900876674975,-79.2022224,43.7653637,WWTP4
CN3568,junction,122.33994712523591,-79.188494,43.7678976,WWTP4
CN3570,junction,150.22248626365666,-79.2228188,43.7591346,WWTP4
CN3585,junction,143.75154111737734,-79.2227195,43.7471309,WWTP4
CN3586,junction,-63.04540815823871,-79.2134293,43.7521657,WWTP4
CN3598,junction,-7.946807131772314,-79.2870236,43.7396108,WWTP1
CN3609,junction,-8.114650914355844,-79.2630585,43.7462992,WWTP4
CN3610,junction,-9.66962172387481,-79.262578,43.7452239,WWTP4
CN3611,junction,-17.687356726240484,-79.2549409,43.7424383,WWTP4
CN3614,junction,-14.645349772671985,-79.2823896,43.7346031,WWTP1
CN3615,junction,-27.54234685231015,-79.2695283,43.728582,WWTP1
CN3619,junction,-26.59703504596818,-79.2702662,43.7289544,WWTP1
CN3623,junction,-33.667754784923844,-79.2674892,43.7244395,WWTP1
CN3626,junction,173.89797196398357,-79.299634,43.7178471,WWTP1
CN3635,junction,-28.525180269519385,-79.2687589,43.7281643,WWTP1
CN3636,junction,-29.43252944350173,-79.2681293,43.7277712,WWTP1
CN3645,junction,161.3694821538961,-79.2548477,43.7236635,WWTP1
CN3652,junction,146.21077551392742,-79.2820712,43.7141021,WWTP1
CN3656,junction,-59.19471681899792,-79.2813577,43.7124187,WWTP1
CN3658,junction,-52.53606752635211,-79.2743787,43.7147272,WWTP1
CN3663,junction,96.08744297910613,-79.1415403,43.7912297,WWTP4
CN3665,junction,-111.48554530459732,-79.1777575,43.778341,WWTP4
CN3675,junction,163.63938672061596,-79.2514538,43.7129198,WWTP1
CN3677,junction,133.34867761047676,-79.293026,43.7069548,WWTP1
CN3680,junction,138.53861093238285,-79.2880045,43.7045013,WWTP1
CN3687,junction,-68.53803445836267,-79.2823826,43.7040155,WWTP1
CN3690,junction,154.64729953243398,-79.2513031,43.7043708,WWTP1
CN3710,junction,154.68136580533545,-79.2192279,43.7386608,WWTP4
CN3712,junction,145.56946896893248,-79.2198262,43.7454774,WWTP4
CN3719,junction,154.38051207513814,-79.2404635,43.7356708,WWTP4
CN3724,junction,393.11660077980684,-79.2083427,43.7374864,WWTP4
CN3757,junction,-30.795681698969343,-79.1606863,43.7852723,WWTP4
CN3758,junction,108.22309061465583,-79.1562576,43.7873149,WWTP4
CN3759,junction,-30.552617818194566,-79.1607065,43.7853214,WWTP4
CN3763,junction,-22.956095003690173,-79.1635864,43.7924349,WWTP4
CN3774,junction,113.55262538990942,-79.1671053,43.785589,WWTP4
CN3776,junction,-24.94054778922731,-79.1629317,43.7905999,WWTP4
CN3788,junction,95.36699862969994,-79.1412633,43.7905728,WWTP4
CN3799,junction,-35.6644795887118,-79.1588235,43.7808439,WWTP4
CN3800,junction,-36.052955081502915,-79.1587328,43.7806284,WWTP4
CN3801,junction,-40.39177996869906,-79.1571196,43.7768081,WWTP4
CN3803,junction,-38.55631116777683,-79.1578101,43.7784513,WWTP4
CN3811,junction,-43.11255835774559,-79.1550641,43.7753318,WWTP4
CN3812,junction,-43.36633127588989,-79.1550437,43.7752695,WWTP4
CN3815,junction,87.220130997328,-79.1470786,43.7787626,WWTP4
CN3829,junction,-130.3809274344499,-79.1587206,43.7680838,WWTP4
CN3831,junction,-29.300973306543217,-79.1739749,43.7594577,WWTP4
CN3834,junction,-43.87578436357868,-79.156443,43.7637156,WWTP4
CN3839,junction,-131.93102654437791,-79.1581223,43.7667778,WWTP4
CN3846,junction,-20.172384146280866,-79.1830352,43.7608607,WWTP4
CN3848,junction,-78.64453923770645,-79.2869113,43.6980449,WWTP1
CN3850,junction,104.405899433954,-79.2862085,43.6934813,WWTP1
CN3854,junction,-72.4625077117479,-79.2820398,43.7006926,WWTP1
CN3855,junction,119.60924519979602,-79.2863052,43.6992678,WWTP1
CN3858,junction,118.4147342847113,-79.2813642,43.6813893,WWTP1
CN3861,junction,131.77983236563864,-79.2540882,43.6991511,WWTP1
CN3870,junction,128.49067269657445,-79.2713145,43.6913113,WWTP1
CN3871,junction,128.46122219944317,-79.2713703,43.6912981,WWTP1
CN3872,junction,124.42870882289355,-79.2693963,43.6840103,WWTP1
CN3876,junction,144.36547848763698,-79.2590494,43.6992998,WWTP1
CN3881,junction,127.60604235044866,-79.2720117,43.6903278,WWTP1
CN3882,junction,123.75802420096521,-79.2770329,43.6885083,WWTP1
CN3899,junction,150.26933369205332,-79.5901323,43.7559588,WWTP3
CN3908,junction,-3.8601900844279227,-79.5812995,43.7599467,WWTP3
CN3917,junction,-23.644203186477974,-79.5691531,43.7470461,WWTP3
CN3932,junction,155.93421219596308,-79.589831,43.7392608,WWTP3
CN3933,junction,155.0599386456872,-79.5895128,43.7405239,WWTP3
CN3941,junction,165.79473033367412,-79.6132894,43.7344406,WWTP3
CN3944,junction,160.877555063089,-79.6007699,43.7341502,WWTP3
CN3945,junction,161.15222920128838,-79.6009625,43.7345972,WWTP3
CN3946,junction,-28.27389179172086,-79.5649131,43.7442792,WWTP3
CN3950,junction,159.32142014130105,-79.5977241,43.7331069,WWTP3
CN3956,junction,161.75523930191122,-79.6034797,43.7340803,WWTP3
CN3958,junction,160.66541190457414,-79.6005254,43.7335883,WWTP3
CN3961,junction,159.82357513676916,-79.5991753,43.732695,WWTP3
CN3965,junction,159.73281130360138,-79.5987552,43.7327893,WWTP3
CN3966,junction,160.1214965661198,-79.5999596,43.7325682,WWTP3
CN3969,junction,-34.91034064517948,-79.5686714,43.7333978,WWTP3
CN3971,junction,-2.411661780139126,-79.598017,43.7261758,WWTP3
CN3976,junction,147.961292843017,-79.6005555,43.7271681,WWTP3
CN3977,junction,-18.390091942123867,-79.5809503,43.7290494,WWTP3
CN3978,junction,140.59307546142458,-79.5641797,43.7232695,WWTP3
CN3979,junction,142.69974037535505,-79.5661149,43.7227109,WWTP3
CN3983,junction,154.1773945356595,-79.5827377,43.7178829,WWTP3
CN3997,junction,156.80789752987033,-79.5954485,43.7442651,WWTP3
CN4000,junction,-12.114635500525205,-79.5880374,43.7281923,WWTP3
CN4001,junction,-5.393390173303028,-79.5952476,43.7250574,WWTP3
CN4002,junction,149.82467097095096,-79.5734952,43.7218276,WWTP3
CN4011,junction,-16.51625990122767,-79.5919014,43.6933466,WWTP3
CN4014,junction,-71.15091851557064,-79.544705,43.7180199,WWTP3
CN4017,junction,-1.6059547940965893,-79.6078408,43.7007758,WWTP3
CN4025,junction,-19.607030873651205,-79.5921634,43.6907322,WWTP3
CN4026,junction,-23.7743769733353,-79.591055,43.6872315,WWTP3
CN4027,junction,-23.492641015963997,-79.591078,43.6873276,WWTP3
CN4037,junction,-39.92697739854472,-79.5749002,43.675769,WWTP3
CN4042,junction,-32.131982164975355,-79.5834235,43.6810472,WWTP3
CN4043,junction,-33.980572710867975,-79.5816445,43.6798903,WWTP3
CN4044,junction,-30.01809492570508,-79.58553,43.6824148,WWTP3
CN4047,junction,-42.9762224978475,-79.5720548,43.673782,WWTP3
CN4049,junction,-48.26350047362254,-79.5684549,43.6698092,WWTP3
CN4050,junction,-45.011039457225834,-79.5697383,43.6727839,WWTP3
CN4054,junction,128.1301564217936,-79.5788252,43.6417752,WWTP5
CN4056,junction,133.62394692531973,-79.5858363,43.6466976,WWTP5
CN4057,junction,132.96376682258483,-79.5846469,43.6466163,WWTP5
CN4063,junction,128.3701761902405,-79.5788702,43.6418098,WWTP5
CN4065,junction,113.0492230753629,-79.5683487,43.6321007,WWTP5
CN4067,junction,115.70009919098304,-79.5693804,43.6341775,WWTP5
CN4068,junction,119.55188862874468,-79.5703277,43.637469,WWTP5
CN4073,junction,91.87882787819437,-79.5677084,43.6166133,WWTP5
CN4074,junction,-22.40484466946357,-79.5313866,43.6931592,WWTP3
CN4075,junction,-92.50986542762436,-79.5260007,43.7021645,WWTP3
CN4080,junction,-2.183932787222958,-79.5523983,43.6932882,WWTP3
CN4083,junction,127.43684247724468,-79.5184576,43.684217,WWTP3
CN4087,junction,-120.56387910329165,-79.5079109,43.6792117,WWTP3
CN4088,junction,131.11074037535505,-79.5305005,43.6820492,WWTP3
CN4089,junction,120.34650561264705,-79.5223465,43.6773944,WWTP3
CN4091,junction,-2.0975902898529433,-79.5174118,43.6787554,WWTP3
CN4093,junction,-0.37489520048482383,-79.5193308,43.6780583,WWTP3
CN4095,junction,126.16466351533742,-79.528571,43.6785518,WWTP3
CN4098,junction,119.44540457169717,-79.5212323,43.677618,WWTP3
CN4099,junction,-4.750319189189927,-79.5147742,43.6781009,WWTP3
CN4102,junction,-127.38518578593956,-79.5114637,43.6723874,WWTP3
CN4111,junction,-140.9805211185452,-79.5070397,43.6596583,WWTP3
CN4113,junction,-95.19009338854306,-79.5229997,43.6481099,WWTP3
CN4115,junction,-90.14276695057583,-79.5277548,43.650972,WWTP3
CN4116,junction,-151.0039018460575,-79.5019833,43.6493447,WWTP3
CN4118,junction,-149.0812103718055,-79.5029883,43.6512558,WWTP3
CN4119,junction,130.70207257472168,-79.5583443,43.6431842,WWTP3
CN4122,junction,119.78240195659306,-79.526761,43.6478406,WWTP3
